0FLOW THROUGH A HEATED PIPE











0               INLET FLUID VELOCITY                       =      .200E+01
0               REYNOLDS NUMBER                            =      .251E+04
0               FLUID DENSITY                              =      .116E+01
0               LAMINAR VISCOSITY                          =      .185E-04
0ITER   I-----ABSOLUTE RESIDUAL SOURCE SUM          S------I   I----FIELD VALUES AT MONITORING LOCATION            ( 5, 5)--------I
  NO.   UMOM      VMOM      MASS      ENER      TKIN      DISP          U         V         P         T         K         D

0 30     2.301E-01 5.097E-02 1.079E+00 0.000E+00 0.000E+00 0.000E+00    2.688E+00-1.438E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 31     2.324E-01 7.331E-02 1.726E+00 0.000E+00 0.000E+00 0.000E+00    2.689E+00-1.466E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 32     2.402E-01 9.021E-02 2.095E+00 0.000E+00 0.000E+00 0.000E+00    2.688E+00-1.491E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 33     2.360E-01 1.024E-01 2.430E+00 0.000E+00 0.000E+00 0.000E+00    2.686E+00-1.513E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 34     2.125E-01 9.111E-02 2.083E+00 0.000E+00 0.000E+00 0.000E+00    2.686E+00-1.532E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 35     1.762E-01 9.197E-02 2.124E+00 0.000E+00 0.000E+00 0.000E+00    2.686E+00-1.549E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 36     1.500E-01 1.065E-01 3.142E+00 0.000E+00 0.000E+00 0.000E+00    2.687E+00-1.564E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 37     1.429E-01 9.923E-02 2.333E+00 0.000E+00 0.000E+00 0.000E+00    2.689E+00-1.577E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 38     1.434E-01 1.090E-01 2.720E+00 0.000E+00 0.000E+00 0.000E+00    2.691E+00-1.588E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 39     1.361E-01 1.460E-01 4.255E+00 0.000E+00 0.000E+00 0.000E+00    2.693E+00-1.598E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
          NITER=  40
0 40     1.235E-01 1.432E-01 3.686E+00 0.000E+00 0.000E+00 0.000E+00    2.694E+00-1.608E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 41     1.133E-01 1.637E-01 4.296E+00 0.000E+00 0.000E+00 0.000E+00    2.694E+00-1.615E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 42     1.143E-01 1.442E-01 3.669E+00 0.000E+00 0.000E+00 0.000E+00    2.694E+00-1.622E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 43     1.130E-01 2.049E-01 5.299E+00 0.000E+00 0.000E+00 0.000E+00    2.694E+00-1.628E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 44     1.126E-01 2.251E-01 6.337E+00 0.000E+00 0.000E+00 0.000E+00    2.693E+00-1.632E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 45     1.000E-01 2.117E-01 5.484E+00 0.000E+00 0.000E+00 0.000E+00    2.692E+00-1.636E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 46     8.738E-02 1.825E-01 4.582E+00 0.000E+00 0.000E+00 0.000E+00    2.692E+00-1.640E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 47     7.502E-02 1.863E-01 4.910E+00 0.000E+00 0.000E+00 0.000E+00    2.693E+00-1.642E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 48     7.266E-02 1.736E-01 4.605E+00 0.000E+00 0.000E+00 0.000E+00    2.693E+00-1.645E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 49     6.840E-02 1.788E-01 4.875E+00 0.000E+00 0.000E+00 0.000E+00    2.694E+00-1.647E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 50     6.560E-02 1.573E-01 4.130E+00 0.000E+00 0.000E+00 0.000E+00    2.694E+00-1.649E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 51     5.946E-02 1.621E-01 5.735E+00 0.000E+00 0.000E+00 0.000E+00    2.695E+00-1.650E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 52     5.452E-02 1.411E-01 4.987E+00 0.000E+00 0.000E+00 0.000E+00    2.695E+00-1.653E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 53     5.252E-02 1.517E-01 4.701E+00 0.000E+00 0.000E+00 0.000E+00    2.694E+00-1.654E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 54     5.316E-02 1.275E-01 3.559E+00 0.000E+00 0.000E+00 0.000E+00    2.694E+00-1.654E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 55     5.091E-02 1.438E-01 4.930E+00 0.000E+00 0.000E+00 0.000E+00    2.694E+00-1.655E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 56     4.552E-02 1.274E-01 3.407E+00 0.000E+00 0.000E+00 0.000E+00    2.694E+00-1.656E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 57     4.034E-02 1.741E-01 5.048E+00 0.000E+00 0.000E+00 0.000E+00    2.694E+00-1.656E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 58     3.482E-02 1.263E-01 3.809E+00 0.000E+00 0.000E+00 0.000E+00    2.694E+00-1.656E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 59     3.375E-02 1.033E-01 2.679E+00 0.000E+00 0.000E+00 0.000E+00    2.694E+00-1.657E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
          NITER=  60
